Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776191176,5000,,Aggregated,1133.900000,1133.900000,1400,1600,1600,1700,1800,1900,2100,25000,105000,115000,116000,122961,122961,1400,1984.596727132165,99.07419699993625,115811.2369010014,227.49902001447614
1776191177,5000,,Aggregated,1135.600000,1135.500000,1400,1600,1600,1700,1800,1900,2100,25000,107000,117000,118000,124798,124798,1400,2002.2099843304545,99.07419699993625,117735.97227100072,227.75009214891264
1776191178,5000,,Aggregated,1081.600000,1081.600000,1400,1600,1600,1700,1800,1900,2100,25000,108000,118000,119000,126133,126133,1400,2004.7593470434479,99.07419699993625,119019.98559799904,227.74080534039467
1776191180,5000,,Aggregated,1097.600000,1097.600000,1400,1600,1600,1700,1800,1900,2100,25000,108000,120000,120000,127343,127343,1400,2018.3713733851544,99.07419699993625,120240.7624970001,227.62653620536662
1776191184,5000,,Aggregated,946.300000,946.300000,1400,1600,1700,1700,1800,1900,2100,25000,110000,120000,121000,129244,129244,1400,2025.509068189121,99.07419699993625,121054.2686969984,227.3313500046424
1776191186,5000,,Aggregated,807.100000,807.100000,1400,1600,1700,1700,1800,1900,2200,25000,111000,122000,124000,131199,131199,1400,2043.6246709204643,99.07419699993625,123603.01938000157,227.18224224270003
1776191188,5000,,Aggregated,753.100000,753.200000,1400,1600,1700,1700,1800,1900,2200,25000,112000,124000,125000,132679,132679,1400,2050.9026174038763,99.07419699993625,124525.98402900003,226.9446031399091
1776191189,5000,,Aggregated,806.700000,806.800000,1400,1600,1700,1700,1900,2000,2300,24000,112000,125000,126000,134456,134456,1400,2060.098512382864,99.07419699993625,125789.01934199894,226.56844618313798
1776191190,5000,,Aggregated,788.100000,788.100000,1400,1600,1700,1700,1900,2000,2300,24000,114000,126000,128000,135756,135756,1400,2067.73255273086,99.07419699993625,127558.85356699946,226.26890892483573
1776191192,5000,,Aggregated,806.600000,806.600000,1400,1600,1700,1700,1900,2000,2300,24000,116000,128000,129000,137792,137792,1400,2082.043178449313,99.07419699993625,129156.72156399887,226.57711623316303
1776191194,5000,,Aggregated,823.200000,823.200000,1400,1600,1700,1800,1900,2000,2300,24000,117000,129000,130000,139792,139792,1400,2087.514609556223,99.07419699993625,130144.02214099937,226.1173672313151
1776191195,5000,,Aggregated,1057.300000,1057.300000,1400,1600,1700,1800,1900,2000,2300,23000,118000,130000,132000,141409,141409,1400,2092.615339201394,99.07419699993625,131932.95926999964,226.1498419478251
1776191197,5000,,Aggregated,1118.700000,1118.700000,1500,1600,1700,1800,1900,2000,2300,23000,120000,133000,134000,143419,143419,1500,2108.6587565251757,99.07419699993625,133577.39880500047,225.85426617114888
1776191198,5000,,Aggregated,1131.100000,1131.100000,1500,1600,1700,1800,1900,2000,2300,23000,120000,134000,135000,145382,145382,1500,2113.228883858712,99.07419699993625,135285.5458999984,225.58741109628428
1776191200,5000,,Aggregated,1181.700000,1181.700000,1500,1600,1700,1800,1900,2000,2300,23000,122000,136000,137000,147489,147489,1500,2129.2746257562635,99.07419699993625,136795.14189400105,225.4127290848809
1776191201,5000,,Aggregated,1166.900000,1166.900000,1500,1600,1700,1800,1900,2000,2200,23000,124000,137000,138000,148778,148778,1500,2136.9560682510446,99.07419699993625,138099.3169480007,225.1534568282945
1776191203,5000,,Aggregated,1146.300000,1146.300000,1500,1600,1700,1800,1900,2000,2200,23000,125000,138000,139000,150469,150469,1500,2141.997870972837,99.07419699993625,139329.84203600063,224.87530986449036
1776191204,5000,,Aggregated,1157.500000,1157.500000,1500,1600,1700,1800,1900,2000,2200,23000,126000,139000,140000,151885,151885,1500,2148.2627235672744,99.07419699993625,140325.62422299996,224.57369062119366
1776191206,5000,,Aggregated,1188.900000,1188.900000,1500,1600,1700,1800,1900,2000,2200,22000,127000,140000,142000,153955,153955,1500,2153.9569389878848,99.07419699993625,141678.2637849992,224.15345393134356
1776191207,5000,,Aggregated,1146.900000,1146.900000,1500,1700,1700,1800,1900,2000,2200,23000,128000,143000,144000,155957,155957,1500,2169.387812716358,99.07419699993625,143907.016956,224.18874433337393
1776191208,5000,,Aggregated,1203.500000,1203.500000,1500,1700,1800,1800,1900,2000,2200,22000,129000,144000,145000,157423,157423,1500,2176.3328345382897,99.07419699993625,145025.2895320009,224.15975429257477
1776191210,5000,,Aggregated,1146.100000,1146.100000,1500,1700,1800,1800,1900,2000,2200,22000,130000,145000,146000,158702,158702,1500,2183.2692504655793,99.07419699993625,146237.13414399937,223.93113508336378
1776191211,5000,,Aggregated,1204.100000,1204.100000,1500,1700,1800,1800,1900,2000,2200,21000,131000,146000,148000,160935,160935,1500,2189.2973667083356,99.07419699993625,147866.58050200093,223.74492807655264
1776191213,5000,,Aggregated,1178.000000,1178.000000,1500,1700,1800,1800,2000,2000,2200,21000,133000,147000,148000,162491,162491,1500,2195.1313956560616,99.07419699993625,148312.205825001,223.81997772184306
1776191214,5000,,Aggregated,1153.100000,1153.100000,1500,1700,1800,1800,2000,2000,2200,21000,135000,150000,151000,164747,164747,1500,2209.925733437737,99.07419699993625,150815.4255619993,223.7624600144464
1776191219,5000,,Aggregated,990.900000,990.900000,1500,1700,1800,1800,2000,2100,2300,21000,135000,151000,152000,166119,166119,1500,2218.010675990577,99.07419699993625,152172.96302799878,223.90411692822616
1776191220,5000,,Aggregated,935.200000,935.200000,1500,1700,1800,1800,2000,2100,2300,21000,136000,152000,154000,167539,167539,1500,2227.7928173032988,99.07419699993625,153662.34870299924,224.02600588519687
1776191222,5000,,Aggregated,820.500000,820.500000,1500,1700,1800,1900,2000,2100,2400,21000,137000,154000,155000,168994,168994,1500,2238.2689060520233,99.07419699993625,155147.77809800033,223.87625004438027
1776191223,5000,,Aggregated,763.000000,763.000000,1500,1700,1800,1900,2000,2100,2400,21000,138000,155000,156000,170503,170503,1500,2246.904682963321,99.07419699993625,156300.3166749986,223.96363113845504
1776191225,5000,,Aggregated,729.400000,729.400000,1500,1700,1800,1900,2000,2100,2500,20000,139000,156000,157000,172736,172736,1500,2254.276547897087,99.07419699993625,157465.51864700086,223.6639843460541
1776191226,5000,,Aggregated,750.100000,750.100000,1500,1700,1800,1900,2000,2100,2500,20000,140000,157000,159000,174024,174024,1500,2262.332269968567,99.07419699993625,158854.3176889998,223.58012687905116
1776191228,5000,,Aggregated,803.300000,803.300000,1500,1700,1800,1900,2000,2200,2500,19000,142000,159000,160000,175894,175894,1500,2269.021000798275,99.07419699993625,160004.4790890006,223.41781413806044
1776191229,5000,,Aggregated,920.900000,920.900000,1500,1700,1800,1900,2000,2200,2600,19000,142000,160000,161000,177442,177442,1500,2277.2786086059073,99.07419699993625,161416.89352600044,223.49248768611716
1776191231,5000,,Aggregated,1050.500000,1050.400000,1600,1700,1800,1900,2000,2200,2600,19000,143000,161000,163000,178790,178790,1600,2286.2700966559323,99.07419699993625,163385.33790499967,223.63473907936685
1776191232,5000,,Aggregated,1081.500000,1081.500000,1600,1700,1800,1900,2000,2200,2600,19000,144000,163000,164000,180642,180642,1600,2294.6214874830057,99.07419699993625,164377.86264200078,223.48165985761895
1776191234,5000,,Aggregated,1125.100000,1125.100000,1600,1700,1800,1900,2100,2300,2600,19000,145000,164000,166000,181888,181888,1600,2304.276616134991,99.07419699993625,165905.50364699995,223.17869238212526
1776191235,5000,,Aggregated,1085.700000,1085.700000,1600,1700,1800,1900,2100,2300,2700,17000,146000,166000,167000,183609,183609,1600,2313.239507361373,99.07419699993625,167103.58229099982,222.95864037165933
1776191237,5000,,Aggregated,1104.900000,1104.900000,1600,1700,1800,1900,2100,2300,2700,8800,147000,167000,168000,185398,185398,1600,2321.1295536560488,99.07419699993625,168461.10969499932,222.9544061963991
1776191239,5000,,Aggregated,1082.500000,1082.500000,1600,1800,1900,1900,2100,2300,2700,7600,148000,170000,172000,187737,187737,1600,2337.919475129468,99.07419699993625,171521.55439800117,223.00249284903882
1776191240,5000,,Aggregated,1072.100000,1072.200000,1600,1800,1900,1900,2100,2300,2700,7500,150000,170000,173000,188878,188878,1600,2340.5253144557755,99.07419699993625,172503.95662400115,222.63310708499665
1776191241,5000,,Aggregated,1140.400000,1140.400000,1600,1800,1900,1900,2100,2400,2700,7500,151000,173000,174000,190715,190715,1600,2356.1450050948574,99.07419699993625,174321.74965800004,222.84398185774586
1776191243,5000,,Aggregated,1072.700000,1072.700000,1600,1800,1900,1900,2100,2400,2700,7200,152000,174000,176000,192808,192808,1600,2361.478466065617,99.07419699993625,175817.02053400112,222.63296128791336
1776191245,5000,,Aggregated,1089.300000,1089.300000,1600,1800,1900,1900,2200,2400,2700,7200,154000,176000,177000,193676,193676,1600,2371.994117216498,99.07419699993625,176891.73956299963,223.03239430801958
